,sales
272371,327.30405
558468,327.30405
76950,26494.988
77556,25782.838
456344,26494.988
436466,25782.838
646251,26494.988
650464,25782.838
162710,544.04193
100327,26494.988
374540,24807.324
399143,25782.838
44740,327.30405
674144,25782.838
81595,24807.324
416724,25519.475
632687,25519.475
351899,25782.838
515940,24807.324
567411,26494.988
274598,327.30405
417880,26494.988
453710,26494.988
597622,321.71573
223346,25782.838
630018,327.30405
355860,25519.475
360080,25519.475
129544,26494.988
422545,327.30405
174199,26494.988
118613,327.30405
60310,25519.475
328458,25782.838
200661,25782.838
179581,26494.988
587612,327.30405
320169,26494.988
37194,26494.988
685427,26494.988
125422,26494.988
24499,25782.838
281806,25782.838
540511,26494.988
28689,25782.838
165066,26494.988
555963,25782.838
610614,26494.988
64013,25519.475
30639,26494.988
418604,26494.988
468037,25782.838
271589,25782.838
77924,25782.838
247149,25519.475
576822,25782.838
108538,26494.988
645670,25782.838
601663,25782.838
502588,25782.838
66732,25782.838
627113,25519.475
691184,26494.988
467913,25519.475
304890,25782.838
274018,26494.988
644430,25782.838
669009,25782.838
518722,27704.025
505976,26494.988
291572,24807.324
39071,25782.838
319154,25782.838
166603,25782.838
428262,26494.988
20314,25782.838
603091,25782.838
500421,26494.988
388016,327.30405
268257,25782.838
216326,25782.838
40755,25782.838
8654,25519.475
37301,26494.988
485623,26494.988
214073,25519.475
406145,25782.838
397642,24807.324
273960,26494.988
12104,25782.838
361202,25782.838
79347,26494.988
462803,25519.475
141713,25519.475
703618,24807.324
308360,26494.988
317995,25519.475
364408,25782.838
27886,25782.838
706814,327.30405
514516,25782.838
577373,26494.988
190561,25782.838
92512,25782.838
565163,26494.988
500246,24807.324
223708,26494.988
555732,25782.838
654150,25782.838
558350,25782.838
52167,26494.988
296981,24807.324
332143,24807.324
426553,25782.838
481847,25782.838
100496,24807.324
706377,26494.988
599169,26494.988
55294,25782.838
218737,25782.838
266706,25782.838
441953,26494.988
127184,26494.988
312223,26494.988
583377,25782.838
523743,26494.988
476775,327.30405
620142,26494.988
460092,25782.838
169260,25782.838
177084,25782.838
645354,26494.988
645737,26494.988
272578,25782.838
600374,26494.988
566038,24807.324
381862,327.30405
535335,25782.838
499411,26494.988
625219,25782.838
61823,327.30405
653471,25782.838
441789,24807.324
155435,25782.838
226567,25782.838
107330,26494.988
149417,25782.838
191690,25782.838
146544,327.30405
383603,25782.838
452941,25782.838
629103,26494.988
30258,25519.475
219501,24807.324
528607,26494.988
397525,25782.838
314281,25782.838
489418,26494.988
182776,327.30405
335928,24807.324
198358,26494.988
400219,327.30405
427476,26494.988
31892,26494.988
109374,25782.838
385320,26494.988
517169,25782.838
369733,26494.988
71343,26494.988
42363,26494.988
612665,25782.838
428563,25782.838
610249,26494.988
669222,25519.475
484348,24807.324
194089,26494.988
328888,25519.475
485880,24807.324
699868,26494.988
265929,25782.838
154648,25782.838
376328,26494.988
530275,25519.475
441109,24807.324
26050,327.30405
247671,327.30405
615467,25519.475
267972,25782.838
22318,25782.838
430083,25782.838
510014,26494.988
343803,25782.838
85161,25782.838
505852,25782.838
266131,26494.988
397091,26494.988
112013,327.30405
492019,327.30405
73240,25782.838
203948,26494.988
603210,327.30405
82813,27.041248
634511,26494.988
28171,26494.988
198571,26494.988
70073,122.22734
551321,24807.324
509286,24807.324
24413,24807.324
367168,26494.988
103724,26494.988
704886,25782.838
568270,26494.988
627934,26494.988
520091,26494.988
505933,25782.838
67603,25782.838
96570,25782.838
696883,327.30405
216455,25782.838
472114,26494.988
437836,25782.838
467331,26494.988
423483,25782.838
533535,26494.988
82465,25782.838
245480,26494.988
155723,24807.324
167485,25782.838
574217,26494.988
307718,24807.324
250666,24807.324
233447,25782.838
9408,25782.838
532318,25519.475
213221,25782.838
149118,25782.838
643815,25782.838
205464,24807.324
172737,25519.475
358803,25782.838
432064,26494.988
243176,26494.988
165487,26494.988
206630,25519.475
380228,26494.988
278339,25782.838
125602,26494.988
707930,26494.988
647013,24807.324
404917,327.30405
607690,25782.838
63394,327.30405
334403,26494.988
440195,327.30405
87636,25782.838
189540,25782.838
18218,25782.838
396021,24807.324
442052,26494.988
397202,25782.838
251121,26494.988
463013,327.30405
655331,25782.838
327407,25782.838
355157,27.041248
654124,25782.838
602473,26494.988
414480,25782.838
574764,26494.988
136740,26494.988
240843,25519.475
130323,327.30405
688030,25782.838
43133,26494.988
172856,25519.475
446048,327.30405
36534,25782.838
612801,26494.988
256750,25782.838
623446,25782.838
63314,26494.988
238452,24807.324
43919,24807.324
258378,26494.988
59774,25519.475
31637,25782.838
673741,25782.838
659942,24807.324
349639,25782.838
394865,25782.838
255648,25782.838
379128,25782.838
540897,24807.324
662220,24807.324
160268,25782.838
654290,26494.988
599039,24807.324
651027,327.30405
553569,25782.838
271750,26494.988
709864,26494.988
300796,25782.838
413674,25782.838
8402,24807.324
310059,25782.838
319105,24807.324
689752,25782.838
